,words,0,1
0,0_oh_profit_value_help,9.709691,7.32971
1,1_noise_sound_crying_hear,9.782969,7.3371706
2,2_roll_pile_large_size,13.105975,11.376679
3,3_water_river_sea_rain,10.13604,7.6821027
4,4_nothing_completely_more_all,7.397939,10.375882
5,5_hit_hand_stick_target,10.287186,6.976483
6,6_rice_husked_cooked_grain,9.223189,9.519017
7,7_fire_light_ashes_smoke,10.528195,14.908907
8,8_like_therefore_maybe_that,5.9844837,10.687655
9,9_tree_trees_branches_log,10.302496,6.340279
10,10_bamboo_xylophone_tall_tube,8.727602,12.259479
11,11_children_younger_child_family,9.476279,14.662131
12,12_thread_weaving_instrument_wind,12.258909,7.62247
13,13_sacrifice_ceremony_died_die,10.353778,10.6919565
14,14_sick_tired_sleep_sickness,12.150131,6.91719
15,15_angry_sad_insult_threaten,6.951487,7.8082614
16,16_fish_catch_net_poison,7.4263334,4.6728573
17,17_look_at_beautiful_test,9.014005,13.4921665
18,18_clothes_cloth_wrinkled_pretty,9.068801,7.4918118
19,19_people_name_group_friend,8.268719,10.334006
20,20_finish_work_pay_begin,11.062009,6.082326
21,21_skin_black_white_complexion,9.334749,7.0935435
22,22_intensive_form_truly_really,11.2083645,11.589158
23,23_hole_ground_earth_drill,-2.0985837,10.681102
24,24_prevent_stop_doing_keep,9.173993,10.380865
25,25_knife_blade_handle_sword,8.520821,4.886959
26,26_grass_weeds_garden_woods,9.779677,9.19939
27,27_bird_birds_nest_type,9.089437,11.716212
28,28_leg_arm_joint_knee,12.607658,9.694481
29,29_particle_final_question_imperative,9.217337,8.570593
30,30_necklace_chain_metal_metals,12.180688,4.6940775
31,31_wine_jar_pour_bottle,10.125011,8.110337
32,32_dog_hunting_prey_wild,10.595527,13.971943
33,33_trap_pam_animals_bait,11.494114,10.228337
34,34_fall_down_stumble_descend,8.374917,13.182436
35,35_time_period_ago_past,7.9161816,8.465277
36,36_desire_want_dream_eager,6.109034,6.592451
37,37_afraid_fearful_frightened_shy,7.5325437,6.5583005
38,38_quickly_grab_fast_hurry,6.5845013,4.935568
39,39_leaf_plant_leaves_stem,8.024136,7.515907
40,40_cold_hot_cool_season,9.496352,12.258487
41,41_eat_eating_cough_hungry,6.3970547,9.993176
42,42_together_meet_gather_discuss,7.018056,8.601349
43,43_over_change_turn_turning,11.203171,5.3626037
44,44_cut_slices_into_straight,9.357784,5.4370785
45,45_lie_accuse_fool_deceive,8.038681,12.145971
46,46_praise_me_amazed_greet,8.478866,3.966591
47,47_clean_wash_dirty_rub,8.416011,5.735055
48,48_eyes_eye_crosseyed_blink,8.082474,10.723312
49,49_tiger_elephant_roar_color,6.169135,7.906019
50,50_strong_weak_heavy_weight,11.899037,11.284194
51,51_ant_bee_insect_beelike,8.51806,8.482467
52,52_fruit_twist_break_off,12.074661,10.022201
53,53_think_clever_true_mistakenly,9.677442,12.743735
54,54_rooster_chicken_chickens_hen,9.563849,6.0095797
55,55_quiet_quietly_laugh_sit,12.745903,9.402062
56,56_hair_matted_unruly_curly,7.8699236,5.388842
57,57_snake_rattan_poisonous_stripes,7.7324896,11.603875
58,58_stomach_bloated_stomachs_big,10.585674,11.477321
59,59_strive_cant_do_want,11.682269,8.259965
60,60_shake_fear_shaking_cold,8.029169,6.3596888
61,61_1st_singular_2nd_person,5.984516,4.8595486
62,62_pull_lift_drive_out,11.585398,5.5743356
63,63_morning_night_star_early,8.385954,9.054187
64,64_horse_cow_pig_guard,5.929642,7.2497334
65,65_throat_mouth_lick_tongue,11.450199,9.074939
66,66_head_headband_put_band,7.5718594,9.189025
67,67_middle_behind_top_zenith,10.475445,8.888938
68,68_frog_edible_toadstool_toad,9.04846,7.8099594
69,69_crossbow_gun_groove_trigger,10.46142,12.401414
70,70_carry_shoulder_carrying_on,12.006572,8.762282
71,71_different_strange_new_unprepared,8.884429,9.635783
72,72_boil_kettle_pot_metal,10.514566,5.9422393
73,73_emphatic_form_unh_hek,6.738121,10.9154625
74,74_understand_interpret_teach_explain,12.15829,5.5936813
75,75_day_today_days_after,9.107666,6.5079675
76,76_yes_negative_certainly_affirmative,5.82491,6.9229546
77,77_wife_husband_marry_man,10.907531,4.5821614
78,78_split_divide_distribute_groups,11.344037,6.449352
79,79_tie_tying_tied_well,7.607095,12.186762
80,80_gongs_bell_gong_set,10.279177,10.10473
81,81_basket_back_small_decorative,13.727801,9.997569
82,82_speak_magical_happen_low,10.90929,15.464063
83,83_walk_walking_behind_leaving,9.353022,6.1904683
84,84_teeth_show_pipe_between,7.5793552,7.8626947
85,85_sticky_smooth_bumpy_flatsurfaced,6.354035,9.078218
86,86_win_fight_defeated_contest,9.5828085,10.275374
87,87_wait_immediately_until_why,11.454256,7.1309614
88,88_bananas_yellow_banana_fat,6.8451624,6.4707017
89,89_fly_dragonfly_moth_larva,10.200549,12.710279
90,90_obey_servant_subjugate_respect,11.94371,9.589774
91,91_dark_darkfarther_darknearer_stuffy,8.885862,5.707983
92,92_red_pepper_salt_hot,11.32759,11.805092
93,93_smell_bad_smelly_stink,6.0365143,9.703603
94,94_squash_cabbage_mushroom_squashlike,8.099896,11.051646
95,95_drink_sober_drunk_drinking,9.869748,12.404208
96,96_hidden_hide_hiding_covered,6.699706,8.965099
97,97_place_put_where_prepare,6.2506886,4.0932174
98,98_simple_seven_five_six,8.995444,4.8633356
99,99_jump_upon_pounce_leap,10.9994755,6.841611
100,100_classifier_for_jars_blankets,7.50954,8.324118
